feature,mean_abs_shap
discharge_disposition_id,0.03521201935689987
number_inpatient,0.011423003026131232
has_inpatient,0.011187860085650262
time_in_hospital,0.009411759269155166
procedures_per_day,0.008960414449490568
age,0.008858045394793223
age_mid,0.007659559517146161
diag_3,0.007198736558600376
has_prior_visits,0.006356083344352047
diag_1,0.0061120418451213136
diag_2,0.005516121959230802
medical_specialty,0.005049009936227246
number_diagnoses,0.004824549549442975
insulin,0.004817173049396231
num_lab_procedures,0.0048157524083893705
total_prior_visits,0.004648135233411652
diabetesMed,0.004008147692351929
med_lab_ratio,0.003308200736066105
num_medications,0.0029735062995033196
admission_source_id,0.002707666327336407
admission_type_id,0.002528815159395988
metformin,0.001653821219702893
number_outpatient,0.001546781834814088
glipizide,0.0015201953940233144
change,0.001472248152479577
num_procedures,0.0011888882595194228
gender,0.0011848960988438215
race,0.0011611325241275437
glyburide,0.0009308921700501371
glimepiride,0.000728028858765491
number_emergency,0.0007270621451464165
rosiglitazone,0.0004903310402855245
repaglinide,0.00029758497574838914
pioglitazone,0.00025559763363950706
nateglinide,3.8127039847073384e-05
glyburide-metformin,3.1664435712524966e-05
examide,0.0
acarbose,0.0
acetohexamide,0.0
chlorpropamide,0.0
citoglipton,0.0
metformin-rosiglitazone,0.0
miglitol,0.0
metformin-pioglitazone,0.0
glimepiride-pioglitazone,0.0
glipizide-metformin,0.0
tolazamide,0.0
tolbutamide,0.0
troglitazone,0.0
